==== 赛博与废土 ====
17. 《谁能书阁下，白首太玄经》 - https://www.qidian.com/book/1044722570/
18. 《穿越神雕：我为西狂》 - https://www.qidian.com/book/1044803710/
19. 《瞎子捉刀人：开局满级九阳神功》 - https://www.qidian.com/book/1043026487/
20. 《十国侠影》 - https://www.qidian.com/book/1045605306/
21. 《苦境：学海无涯的大科学家》 - https://www.qidian.com/book/1044960626/
22. 《苟在苦境的重生回复术士》 - https://www.qidian.com/book/1044908449/
23. 《横练诸天：开局硬刚九阴白骨爪》 - https://www.qidian.com/book/1037889099/
24. 《神雕：我学了斗转星移》 - https://www.qidian.com/book/1042481600/
25. 《这个锦衣卫只想退休养老》 - https://www.qidian.com/book/1044824399/
26. 《江湖路从火云传奇开始》 - https://www.qidian.com/book/1045859458/
27. 《综武：女侠别怕，我是好人呐！》 - https://www.qidian.com/book/1042477015/
28. 《死人经》 - https://www.qidian.com/book/2389275/
29. 《综武：从锦衣卫校尉开始》 - https://www.qidian.com/book/1043930522/
30. 《苦境：开局救下少女素还真》 - https://www.qidian.com/book/1045944815/
31. 《武侠：开局满级天外飞仙》 - https://www.qidian.com/book/1044539048/
32. 《重生笑傲：我要当教主》 - https://www.qidian.com/book/1040446533/
33. 《神雕：七年后方知是武侠》 - https://www.qidian.com/book/1045853609/
34. 《开局被追杀，我获得第一快剑》 - https://www.qidian.com/book/1042016222/
35. 《多情剑客无敌剑》 - https://www.qidian.com/book/1045838341/
36. 《家师元十三限》 - https://www.qidian.com/book/1044005813/
37. 《霹雳苦境开局有个聊天群》 - https://www.qidian.com/book/1045782963/
38. 《一个人的武侠游戏》 - https://www.qidian.com/book/1043415010/
